,country,continent,c1UrbanPopChange_2000-2020,c1UrbanPopChange_2010-2020,c1UrbanPopChange_2010-2030,c1UrbanPopChange_2020-2030,c2UrbanPopChange_2000-2020,c2UrbanPopChange_2010-2020,c2UrbanPopChange_2010-2030,c2UrbanPopChange_2020-2030,c3UrbanPopChange_2000-2020,c3UrbanPopChange_2010-2020,c3UrbanPopChange_2010-2030,c3UrbanPopChange_2020-2030,NonUrbanPopulation_10YearLag2020,NonUrbanPopulation_10YearLag2030,NonUrbanPopulation_20YearLag2020,NonUrbanPopulation_20YearLag2030,PopChange_2000-2020,PopChange_2010-2020,PopChange_2010-2030,PopChange_2020-2030,Population2000,Population2010,Population2020,Population2030,UrbanPopulation2000,UrbanPopulation2010,UrbanPopulation2020,UrbanPopulation2030,UrbanPopulation_10YearLag2020,UrbanPopulation_10YearLag2030,UrbanPopulation_20YearLag2020,UrbanPopulation_20YearLag2030,Region,Income group
107,Heard Island and McDonald Islands,Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
108,Holy See,0,0,0,0,0,51,39,53,57,51,39,53,57,0,0,0,0,51,39,53,57,1595,1549,1508,1565,1595,1549,1508,1565,0,0,0,0,,
109,Honduras,North America,16784,13446,30412,13656,1553245,1038380,1642718,751656,1553245,1038380,1642718,751656,49849,81664,33334,88476,4529448,2840807,4600435,2015903,6869854,8721136,10444427,12093719,3153368,4300108,5593236,6599154,432729,368789,969497,827748,Latin America & Caribbean,Lower middle income
110,"Hong Kong SAR, China",Asia,431,118,416,0,974639,482118,634072,205114,974639,482118,634072,205114,6890,0,4359,1893,1034618,509004,698535,246792,5804478,6252764,6633104,6672193,5693659,6145549,6513102,6555662,14613,31362,45871,41620,East Asia & Pacific,High income
111,Howland Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
112,Hungary,Europe,15257,5179,11840,2376,293387,179957,313355,177645,293387,179957,313355,177645,171306,143343,288605,263548,1225112,554737,1064297,638322,15032070,14719482,14376731,14221758,7878700,7521400,7334159,7278894,217818,159615,398980,333608,Europe & Central Asia,High income
113,Iceland,Europe,1290,0,4036,1911,91847,69673,92889,36576,91847,69673,92889,36576,0,14145,2802,11340,204328,110251,165618,66303,620609,703269,810591,862925,368472,454642,552470,590086,28334,24637,93663,52383,Europe & Central Asia,High income
114,Ilemi triangle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12264,6106,10569,4632,14291,20462,25444,29628,0,0,0,0,0,0,0,0,,
115,India,Asia,6627004,3807550,7313544,2500588,162780969,83594560,137663347,73416417,162780969,83594560,137663347,73416417,24689346,17679142,27316598,30748936,507571606,292635987,478620261,222724459,1139447807,1334454317,1501880268,1629138309,646302285,779187551,848249625,929540874,69496203,59544127,132063879,124860541,South Asia,Lower middle income
116,Indonesia,Asia,620972,310291,744685,391359,34349394,17915425,32460945,16561843,34349394,17915425,32460945,16561843,2245466,3118480,3201142,4113187,67195295,32669957,61277831,31248468,212391051,241848078,269057902,288818575,137030280,158695843,177437250,190850448,5985424,5526264,14885016,11272894,East Asia & Pacific,Upper middle income
117,"Iran, Islamic Rep.",Asia,191699,83578,134348,26833,22149214,12087216,16906258,5650003,22149214,12087216,16906258,5650003,511183,322461,953175,625438,35002470,16691446,24307680,8476633,79115833,90882951,105176021,111966707,57926323,68564038,81698871,87164219,3074690,1312211,8885181,4433772,Middle East & North Africa,Upper middle income
118,Iraq,Asia,117342,80038,137080,48244,14481186,10406526,19386160,9475493,14481186,10406526,19386160,9475493,285894,193164,279121,343840,22269396,13628385,26018893,12433214,29576205,37573510,51180635,63559803,20552662,28165137,40232932,50881899,1880869,1363862,5816891,3561755,Middle East & North Africa,Upper middle income
119,Ireland,Europe,25073,6537,18535,4278,713787,369225,648098,344916,713787,369225,648098,344916,50394,35855,78189,85544,2251429,855944,1513277,790774,6198889,7445250,8141244,8671052,2850818,3507245,3930973,4243318,184443,72107,601907,273803,Europe & Central Asia,High income
120,Isle of Man,Europe,957,9,446,889,3480,869,866,3527,3480,869,866,3527,444,12273,4683,9527,21802,8327,16892,11765,127301,141159,141584,144507,63871,67372,75261,65137,11234,0,13826,10468,Europe & Central Asia,High income
121,Israel,Asia,16477,2620,4343,280,2129167,1332528,2551022,1282171,2129167,1332528,2551022,1282171,14301,2155,45476,16031,3101166,1679266,3269980,1613827,7049143,8450284,10112928,11707822,5802053,7063068,8605654,10047067,234312,175258,737481,453213,Middle East & North Africa,High income
122,Italy,Europe,119599,26781,35870,3984,3380758,1606108,1854557,376272,3380758,1606108,1854557,376272,924241,778089,969438,1464648,7816405,3026799,3767000,1129426,77339105,81306103,81001334,78418329,46431517,49476222,49812635,48487345,1109262,500566,2694283,1434604,Europe & Central Asia,High income
123,Jamaica,North America,7235,5968,8698,1309,117537,64303,75234,37419,117537,64303,75234,37419,61007,33171,58171,70286,560735,311639,457806,216629,2740516,2868631,2957424,2939845,1804637,1847616,1775460,1714779,51223,36638,96735,66601,Latin America & Caribbean,Upper middle income
124,Jammu and Kashmir,0,97743,57142,123566,58931,2321758,1220592,1937616,1060203,2321758,1220592,1937616,1060203,292520,321521,345742,426424,9461773,4874052,8080305,3672128,16959080,20564179,23410055,26172230,7623592,9775908,11471406,12960496,1430562,1002080,2828497,2396429,,
125,Japan,Asia,88941,20892,38362,11914,8095458,3430936,3132621,985982,8095458,3430936,3132621,985982,839624,861636,1488766,1275444,12334968,5065117,5503101,2212841,152590010,154241155,150826815,142697984,118838126,121082843,118707480,111950511,1411691,968774,3408178,1975438,East Asia & Pacific,High income
126,Jarvis Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
127,Jersey,Europe,0,0,0,0,16937,9224,17172,8708,16937,9224,17172,8708,0,0,0,0,33883,18255,34504,16426,128988,143690,161816,177958,69202,76770,93136,109488,7142,7716,7142,15595,,
128,Johnston Atoll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
129,Jordan,Asia,54208,27307,43924,3382,5234620,4004650,4901383,1102200,5234620,4004650,4901383,1102200,102959,27239,121594,123794,6926038,4720550,5989802,1407447,5958224,8165763,12883487,14070655,4566660,6604038,11054042,12126808,522750,210762,1320601,783702,Middle East & North Africa,Lower middle income
130,Juan de Nova Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
131,Kazakhstan,Asia,49265,29428,59724,14377,3350065,2793831,4827090,2338206,3350065,2793831,4827090,2338206,265244,201729,408968,416448,7910651,4399997,7819567,3597470,22764721,24638246,27923593,30916930,12799601,15091892,18354792,20879477,1239151,667592,3726056,2053263,Europe & Central Asia,Upper middle income
132,Kenya,Africa,952085,367504,635505,159611,6213417,4891798,10507059,7206482,6213417,4891798,10507059,7206482,1042440,809995,1727635,1401481,33920934,21137149,35095231,17108470,30828430,41559917,52102221,63247149,10331624,13530535,19163526,27113662,2840361,1937444,5752039,5487444,Sub-Saharan Africa,Lower middle income
133,Kingman Reef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
134,Kiribati,Oceania,0,0,0,0,30374,19517,39557,21798,30374,19517,39557,21798,0,0,0,0,46750,26536,54303,27871,83837,102639,121009,142754,28737,44216,68819,95650,5086,5063,9708,11878,East Asia & Pacific,Lower middle income
135,"Korea, Dem. People's Rep.",Asia,25512,13169,28215,10633,3002819,1875903,2359761,861560,3002819,1875903,2359761,861560,144969,129835,132171,169552,6270930,4227996,5848799,2075829,29890454,31548436,32973377,33847987,24360362,25551006,26128704,26466992,991460,445475,1416039,1391405,East Asia & Pacific,Low income
136,"Korea, Rep.",Asia,102690,37014,42326,6627,6280935,3634852,4242136,1307029,6280935,3634852,4242136,1307029,403251,240003,563664,456382,12707401,6210121,7987879,2685964,56896194,59367631,63040714,62431056,46413803,49031013,51997723,51313073,1335809,404460,4044512,1679834,East Asia & Pacific,High income
137,Kuril islands,0,0,0,469,45,265,656,0,0,265,656,0,0,0,6364,0,6364,4757,3547,3444,1027,25573,22680,20864,18767,7415,8092,7167,0,0,0,1686,0,,
138,Kuwait,Asia,0,1356,4181,1141,2405652,1446451,1659029,232603,2405652,1446451,1659029,232603,6341,10827,0,15038,2740122,1604367,1870496,286263,2188912,3331447,4929024,5162893,1958941,3091096,4596247,4807384,69070,25483,231664,97527,Middle East & North Africa,High income
139,Kyrgyzstan,Asia,15242,9768,29635,7463,938105,599159,1322859,779962,938105,599159,1322859,779962,64954,61544,62560,124937,2327008,1356561,2680547,1356446,6515565,7249169,8512148,9859926,3884543,4391264,5203242,6228027,318745,303526,605867,646003,,
140,Lao PDR,Asia,41087,19889,92679,45573,259481,179407,286622,213259,259481,179407,286622,213259,105345,269354,113471,326012,2984299,1751945,3046552,1522833,5695174,6636744,7682207,8733030,974323,1300497,1616258,1920554,330937,413618,608558,740719,East Asia & Pacific,Lower middle income
141,Latvia,Europe,1927,828,2022,628,36139,16479,12976,5410,36139,16479,12976,5410,62212,71776,91683,119394,126487,52181,102327,75086,4328319,3801870,3433613,3081026,2072148,1774464,1569760,1347176,40004,33938,55204,61737,Europe & Central Asia,High income
142,Lebanon,Asia,35172,18330,19853,5264,761998,400380,244004,24150,761998,400380,244004,24150,90236,241720,117762,174953,1707519,870913,626332,116961,4864066,5620774,6385224,5316541,3031426,3608289,4167328,3224680,322253,92203,585968,229279,Middle East & North Africa,Lower middle income
143,Lesotho,Africa,12216,3246,10032,2302,119527,75344,120404,68925,119527,75344,120404,68925,26818,21783,55281,37620,956808,616038,978225,432170,2299497,2324102,2587892,2872117,628541,644235,745863,857450,94712,75978,143065,167810,Sub-Saharan Africa,Lower middle income
144,Liberia,Africa,8576,5310,8474,4126,980264,666940,1385397,750960,980264,666940,1385397,750960,21406,18220,24815,25481,2327579,1154367,2357848,1246431,2914748,4046187,5121930,6319822,1409199,2059118,2805266,3647696,122975,110785,479787,238519,Sub-Saharan Africa,Low income
145,Libya,Africa,21550,10676,11561,858,583102,367022,571346,405100,583102,367022,571346,405100,80058,9423,77090,65664,2110082,1003796,1631075,892294,6075384,7651289,7845431,8718331,3331973,4511037,4720499,5259833,375993,151893,1052738,531618,Middle East & North Africa,Upper middle income
146,Liechtenstein,Europe,4671,0,0,0,0,0,0,0,0,0,0,0,0,0,28208,0,10940,6189,10694,5544,47306,51376,55371,58884,24927,0,0,0,0,0,0,0,Europe & Central Asia,High income
147,Lithuania,Europe,7741,935,5095,1637,95681,55231,48347,19489,95681,55231,48347,19489,103077,82460,201182,156451,361797,157398,258728,161042,6302405,5492706,4933053,4473475,3140873,2571082,2276578,1938422,81398,20814,130586,80015,Europe & Central Asia,High income
148,Luxembourg,Europe,1879,2014,5191,793,100635,91884,135413,50063,100635,91884,135413,50063,14764,9924,10149,25016,308053,192853,304585,123883,678727,789146,979656,1083079,247037,366851,499006,556017,53555,19525,161013,76041,Europe & Central Asia,High income
149,Ma'tan al-Sarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
150,"Macao SAR, China",Asia,44,44,0,0,181534,106491,172872,68173,181534,106491,172872,68173,164,0,164,0,188050,106821,173401,68483,339408,435343,525186,593186,336559,433796,524267,592179,586,192,8303,600,East Asia & Pacific,High income
151,"Macedonia, The Former Yugoslav Republic Of",Europe,3752,1962,368,516,126174,68263,68463,16565,126174,68263,68463,16565,19624,29669,19624,8526,358643,161925,204044,81118,2733474,2808025,2831259,2777764,1562175,1643879,1666809,1605243,53071,23645,146781,35898,,
152,Madagascar,Africa,91247,72363,155741,126737,3529147,2712162,5804531,3735004,3529147,2712162,5804531,3735004,341169,496337,325481,460612,14592349,8478727,17553092,9763800,17164390,23021128,29923736,37752714,4316017,6936752,10829243,15801273,1786388,2038954,3571572,3967240,Sub-Saharan Africa,Low income
153,Madeira Islands,0,749,137,132,0,37956,15953,23888,9335,37956,15953,23888,9335,11722,0,11722,10826,49342,18601,29283,12362,313556,317108,309883,305006,167747,176244,171980,177255,1857,1,3916,1984,,
154,Malawi,Africa,560575,411931,1106637,380916,1410892,1025548,2053721,1415135,1410892,1025548,2053721,1415135,1630767,1692762,1311535,2773767,10223311,6091466,12119775,6544751,11622710,15220359,20029572,25779918,2758224,4522192,5566228,7190749,1390869,1612384,2334843,2456734,Sub-Saharan Africa,Low income
155,Malaysia,Asia,62976,14980,30479,8811,6176226,3392691,5667203,2542513,6176226,3392691,5667203,2542513,146783,99307,272321,184357,11424878,5675167,9574213,4219262,22621971,28335259,32782691,36236816,14201692,18735827,22692016,25548281,1117142,681554,2962278,1855602,East Asia & Pacific,Upper middle income
156,Maldives,Asia,2,0,0,0,117995,82269,80838,7067,117995,82269,80838,7067,0,0,3982,0,188048,121051,122529,19488,240557,302625,423407,416126,92091,131200,218954,217800,5485,1083,13130,6853,South Asia,Upper middle income
157,Mali,Africa,21560,16404,28553,17926,3465202,2162689,5119998,3311838,3465202,2162689,5119998,3311838,64585,69437,72805,67100,10852810,6063315,13728522,7759490,11546444,15972241,21826349,29526915,3923918,6207113,9382225,13887557,1088145,1250863,2132129,2614745,Sub-Saharan Africa,Low income
158,Malta,Europe,0,0,313,80,103241,86955,108249,27349,103241,86955,108249,27349,0,8476,0,8476,146942,118103,151922,35744,489376,512805,628649,662366,399396,411472,542502,563689,45537,3886,46524,53521,Middle East & North Africa,High income
159,Marshall Islands,Oceania,2,0,0,0,2982,231,373,950,2982,231,373,950,3698,0,3698,0,3218,329,781,2155,44995,44641,36081,37664,20071,22282,16321,21305,835,4098,835,1111,East Asia & Pacific,Upper middle income
160,Martinique,North America,903,152,505,215,8184,4669,6267,2835,8184,4669,6267,2835,12571,4537,27043,16197,34831,15309,25123,12167,438970,397840,374995,367158,261086,228531,199126,195247,2750,6357,21209,9220,,
161,Mauritania,Africa,13109,3305,2875,389,1004623,704873,1617032,979950,1004623,704873,1617032,979950,21371,1233,39665,18457,2886458,1757627,3216139,1575702,2806416,3564099,4692107,6080252,1258193,1819791,2584890,3664734,203529,132162,588464,381079,Sub-Saharan Africa,Lower middle income
162,Mauritius,Africa,4143,281,1488,1218,132358,48388,58330,18064,132358,48388,58330,18064,5821,12269,21514,12830,287403,103177,155477,69597,1295921,1365737,1379505,1386427,912795,986090,984107,971206,6444,7171,76199,8877,Sub-Saharan Africa,Upper middle income
163,Mayotte,Africa,8093,4157,7461,0,93779,68935,144461,82234,93779,68935,144461,82234,23222,0,26807,26526,151291,96934,201505,104648,165444,219897,316736,421233,118455,166487,240878,353340,24529,30377,47358,61573,,
164,Mexico,North America,418953,201691,365395,65275,19679273,9405662,14684307,6761164,19679273,9405662,14684307,6761164,941945,597816,1241978,1300494,40466050,20555116,30966372,12861715,105164566,120904314,135353113,144511676,72549911,84962566,94757201,102168094,4305466,2191449,9415816,6556562,Latin America & Caribbean,Upper middle income
165,"Micronesia, Fed. Sts.",Oceania,12,3,5,0,1199,719,1591,973,1199,719,1591,973,4648,0,5039,4302,15156,9522,23239,14130,103503,100015,104441,114885,17205,16673,12227,20472,0,7292,242,7292,East Asia & Pacific,Lower middle income
166,Midway Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
167,Moldova,Europe,7904,1129,5906,4311,62291,20520,78963,87683,62291,20520,78963,87683,200156,48091,347352,206354,199310,66456,256242,252765,6245076,5400082,4528318,4656760,3241426,2570761,1965603,2022485,75020,52946,82139,88315,Europe & Central Asia,Upper middle income
168,Monaco,Europe,0,0,0,0,562,211,488,482,562,211,488,482,0,0,0,0,1152,388,722,563,11410,12453,12161,12611,6912,9842,9588,10028,0,0,2128,0,Europe & Central Asia,High income
169,Mongolia,Asia,1515,80,1305,1252,1250553,770582,1273974,533411,1250553,770582,1273974,533411,8231,20451,58208,23409,1631743,975378,1686193,717578,3653295,4031029,4914548,5569122,1862301,2324599,3176877,3748131,130886,92178,254206,244514,East Asia & Pacific,Upper middle income
170,Montenegro,Europe,2059,171,1145,235,53040,31129,35993,9954,53040,31129,35993,9954,11617,11779,21216,20936,144741,68658,104513,43275,832211,828914,827037,816873,540376,533033,521879,502957,15543,13197,49296,28946,Europe & Central Asia,Upper middle income
171,Montserrat,North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882,507,588,168,5471,5226,4727,4486,0,0,0,0,0,0,0,0,,
172,Morocco,Africa,95633,29567,44671,6916,7165293,3986501,7104256,3507536,7165293,3986501,7104256,3507536,198030,130058,444865,259279,11489138,5716280,10038685,4785829,34141629,38806942,43848460,48069918,22457098,26595498,31064774,34855773,1031780,662993,2918483,1710025,Middle East & North Africa,Lower middle income
173,Mozambique,Africa,65206,56365,102099,91111,3744246,2913154,6492146,4162637,3744246,2913154,6492146,4162637,251703,346618,237600,316869,17709338,10881504,21633490,11513839,18752894,24331230,32849489,43087778,8228361,10980480,14594099,20254185,1592040,1975518,3871143,3742805,Sub-Saharan Africa,Low income
174,Myanmar,Asia,148942,68330,130326,65419,7021055,3377723,6327662,3669658,7021055,3377723,6327662,3669658,669455,557157,789698,776340,16684688,8370274,14429995,7097173,47564295,51546309,55747718,59477090,29415496,30876106,33086846,36065757,1963744,1450989,4175488,3215805,East Asia & Pacific,Lower middle income
175,Namibia,Africa,2321,87,4437,2911,329407,180433,396380,245339,329407,180433,396380,245339,1143,12171,11224,10084,1295891,769133,1367122,723518,1950120,2253265,2671565,3129645,516799,712422,961765,1248126,77478,52839,137871,151856,Sub-Saharan Africa,Upper middle income
176,Nauru,Oceania,0,0,1552,659,2936,2120,1887,735,2936,2120,1887,735,0,6252,0,5542,3396,2397,3842,1448,9805,9671,11600,12547,8611,8589,10884,5540,637,0,912,0,East Asia & Pacific,High income
177,Navassa Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
178,Nepal,Asia,597669,300918,546275,131912,3813317,2719840,4826066,2911233,3813317,2719840,4826066,2911233,1366510,779835,1502626,1648078,16640907,8978055,15586688,7807678,27649678,30574046,33028242,37294588,9776670,11475611,13804047,17715674,2477129,2525851,5121759,4992506,South Asia,Lower middle income
179,Netherlands,Europe,13812,3906,7710,2212,1733185,1130957,1723102,717626,1733185,1130957,1723102,717626,118331,127189,219631,185435,3797448,1835128,3153254,1555737,25704230,26859525,28180276,29006171,18134230,19099447,20213495,20736013,419690,248909,1403538,627195,Europe & Central Asia,High income
180,Netherlands Antilles,0,442,1857,1995,0,25086,32031,36950,14591,25086,32031,36950,14591,4608,0,819,4753,109036,65374,82490,23226,192964,220658,268396,280491,76383,130340,204511,216354,50704,6235,115498,61977,,
181,New Caledonia,Oceania,0,8011,13570,0,13309,17324,26832,13042,13309,17324,26832,13042,18787,0,0,21964,97389,47453,86592,40442,236100,278351,304708,332525,92261,137656,168492,194032,24353,13460,63475,38273,East Asia & Pacific,High income
182,New Zealand,Oceania,8133,6861,5534,180,1048190,690557,1041797,376677,1048190,690557,1041797,376677,32192,3107,33072,18355,1827871,1183620,1744173,611574,4929323,5551947,6451566,7005824,2931677,3454176,4285589,4773739,212488,117796,375551,331111,East Asia & Pacific,High income
183,Nicaragua,North America,2861,819,3823,3454,615885,341395,688435,396445,615885,341395,688435,396445,6140,21102,16023,15413,2124284,1212392,2283642,1143382,5251978,6002059,6923118,7875371,3196075,3609944,4001324,4475335,195716,163558,442462,375286,Latin America & Caribbean,Lower middle income
184,Niger,Africa,46136,36168,73467,173685,3111652,1999178,4744953,3311335,3111652,1999178,4744953,3311335,159196,537865,147935,184782,13822357,8674841,19439231,11178526,11964667,17117381,25011641,36188872,5604349,8216073,11155746,16986968,1400181,2885023,2878942,4296198,Sub-Saharan Africa,Low income
185,Nigeria,Africa,561255,277261,766057,449717,40092816,25684608,52365901,29869118,40092816,25684608,52365901,29869118,1437385,2375853,1514576,2427368,94235500,50907251,105798958,56593878,124557117,163033962,210942024,265836454,83321849,112798705,146039438,183883501,10450292,10561454,28710013,21874196,Sub-Saharan Africa,Lower middle income
186,Niue,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,450,674,236,2414,2083,2193,2175,0,0,0,0,0,0,0,0,,
187,Norfolk Island,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,29,28,3061,2827,2480,2136,0,0,0,0,0,0,0,0,,
188,Northern Mariana Islands,Oceania,4,0,0,0,114,16,107,864,114,16,107,864,0,0,2712,0,606,167,799,2992,80958,54563,50046,51700,29632,15015,13706,14571,0,0,0,0,East Asia & Pacific,High income
189,Norway,Europe,14624,9345,10752,615,790863,463925,802842,388696,790863,463925,802842,388696,80681,23522,80780,64864,2157120,1090413,1891913,901835,8698947,9468522,10404475,11110325,3668016,4347311,4992984,5597830,301385,288973,716922,567124,Europe & Central Asia,High income
190,Oman,Asia,25403,22277,30261,5354,1018375,913261,1319798,545397,1018375,913261,1319798,545397,85795,88287,79433,126061,2503142,1948568,2861772,992436,2488839,3103543,4856708,5443927,1178554,1527795,2932852,3566062,641254,311832,852997,1023124,Middle East & North Africa,High income
191,Pakistan,Asia,1733737,907154,1977949,696109,40037279,21135514,40839821,23050021,40037279,21135514,40839821,23050021,5800215,3648856,6790158,7056785,97445455,56054793,108701064,56630367,175108636,221053827,258744302,312503848,107066324,137422980,153025965,184785925,8736805,12603899,17769949,19927255,South Asia,Lower middle income
192,Palau,Oceania,0,0,0,0,5,0,0,12,5,0,0,12,0,28,0,0,5056,3440,4703,1760,18325,17259,16980,17033,9741,7737,6375,5660,1146,0,829,1005,East Asia & Pacific,High income
193,Palmyra Atoll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
194,Panama,North America,6099,1352,3344,853,684780,409014,818701,448327,684780,409014,818701,448327,22997,23590,26592,36981,1515620,877133,1570298,763189,3017221,3641352,4321455,4896558,1697230,2129282,2605702,3090539,124658,88276,283030,229054,Latin America & Caribbean,High income
195,Papua New Guinea,Oceania,85339,55471,124854,56127,729745,459169,845930,556172,729745,459169,845930,556172,178170,256464,157878,297102,4166540,2207289,4128895,1993604,5204607,7190952,9289656,11118533,1140666,1899694,2921709,4071869,692980,820083,1127726,1515715,East Asia & Pacific,Lower middle income
196,Paracel Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,85,87,7,438,465,470,477,0,0,0,0,0,0,0,0,,
197,Paraguay,South America,30062,21309,41037,9081,664525,473741,853634,488298,664525,473741,853634,488298,103604,108165,87899,177502,1968075,1391240,2751897,1394942,5667165,6381705,7315844,8197029,2826408,3483537,3815927,4072581,316331,272184,642423,633169,Latin America & Caribbean,Upper middle income
198,Peru,South America,44533,11408,29145,8947,5877134,3321303,5850606,2645399,5877134,3321303,5850606,2645399,70436,74895,187605,131846,8324401,4520706,8220122,3792753,27015731,29647577,33784534,37222352,16563026,19552337,23141014,26039779,463915,407185,1295085,924679,Latin America & Caribbean,Upper middle income
199,Philippines,Asia,1372849,467849,984017,253395,17464854,10044295,19232062,10984786,17464854,10044295,19232062,10984786,2222514,1418086,3832626,2923103,41782198,22417427,42180811,21731677,76952121,93676039,111199716,128351710,42503493,53454470,66214906,80442632,6049161,6224133,11751746,12385618,East Asia & Pacific,Lower middle income
200,Pitcairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,7,5,49,62,65,69,0,0,0,0,0,0,0,0,,
201,Poland,Europe,47055,18641,49351,13327,2042621,1128182,1532885,670722,2042621,1128182,1532885,670722,388046,317868,627976,621125,7943384,3631128,6414196,3566619,62144228,62316965,62069534,62530585,30656322,29946348,29183534,29160915,588729,477505,1539736,1022925,Europe & Central Asia,High income
202,Portugal,Europe,23256,2170,13705,5129,632088,297137,533512,271644,632088,297137,533512,271644,183368,204843,247324,346894,1220486,468027,907350,521646,12718771,13067094,12708135,12417713,6469457,6745694,6780424,6769455,126166,99445,217712,196697,Europe & Central Asia,High income
203,Puerto Rico,North America,6578,1901,4377,934,53289,16769,40667,36963,53289,16769,40667,36963,80473,16630,111418,77531,337843,143330,292266,196769,4030793,3915958,3444460,3431388,2028333,1910943,1658134,1685689,97232,86271,114111,164546,Latin America & Caribbean,High income
204,Qatar,Asia,1924,10183,6808,545,1520228,842494,925295,135548,1520228,842494,925295,135548,24989,13666,3852,16896,2343407,1211722,1357585,218977,707069,1881912,3040219,3146875,551728,1596873,2665465,2741714,269345,25233,599141,282289,Middle East & North Africa,High income
205,Romania,Europe,34070,7601,22334,6757,575463,301851,387986,182794,575463,301851,387986,182794,254661,256490,546137,437271,2386346,1092281,1960406,1187085,31442538,29155922,27868708,27264892,14942763,13506801,12971050,12588436,399388,117713,681677,456875,Europe & Central Asia,High income
206,Russian Federation,Europe,310458,117307,236183,60257,16695712,10002718,11182612,2956078,16695712,10002718,11182612,2956078,2150079,2530721,4401541,3781770,32218191,16936761,22155591,8249779,252803759,246197441,250010969,242482159,173181273,167127281,170477169,163196552,4001423,1945367,8318605,5164729,Europe & Central Asia,High income
207,Rwanda,Africa,372881,82799,161959,22190,921000,671669,1383231,857163,921000,671669,1383231,857163,308994,104698,863907,397856,7253793,4247989,7796820,3895403,8119069,10310142,13145020,16378222,2451161,2700714,3435482,5016369,493893,841525,1105243,1379156,Sub-Saharan Africa,Low income
208,Réunion,Africa,1879,176,277,0,115536,57599,87680,41388,115536,57599,87680,41388,6858,0,12767,5141,351601,109293,182341,85002,838723,949740,1022092,1101993,516369,633722,703705,761238,42456,17201,186980,60690,,
209,"Saint Helena, Ascension and Tristan da Cunha",Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,269,352,112,6360,5647,5772,5240,0,0,0,0,0,0,0,0,,
210,Saint Pierre and Miquelon,North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722,746,1525,797,8595,8266,8122,7810,0,0,0,0,0,0,0,0,,
211,Samoa,Oceania,3,0,0,0,4547,6154,15315,11946,4547,6154,15315,11946,0,0,1483,0,35886,20689,53634,33552,183326,193866,213955,247494,51290,64104,80047,104901,10214,12922,28812,25482,East Asia & Pacific,Lower middle income
212,San Marino,Europe,0,0,0,0,3320,1148,856,283,3320,1148,856,283,0,0,0,0,9446,3305,4706,2975,34423,40398,43396,42972,15404,19748,20681,19509,0,0,2285,0,Europe & Central Asia,High income
213,Saudi Arabia,Asia,44520,27263,36388,8698,9910069,5885715,9041927,3698917,9910069,5885715,9041927,3698917,361757,127592,227228,316637,17083316,9560949,14650222,5542640,23395306,31963252,39147230,44041823,16922296,24230472,30427406,34266081,1885579,543811,4351552,2536862,Middle East & North Africa,High income
214,Scarborough Reef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
215,Senegal,Africa,26509,18140,49519,27431,3060759,1895909,4278851,2557332,3060759,1895909,4278851,2557332,76573,135381,82480,127379,7062148,4108479,8883036,4842328,10013809,12925783,16953261,21785879,6360728,8409716,10921428,14031010,712030,665522,1636377,1426847,Sub-Saharan Africa,Lower middle income
216,Senkaku Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
